GPU UTIL,GPU MCLK,GPU TEMP,GPU MEM UTIL,FPS,CPU UTIL,SYSTEM MEM UTIL
31.92,1200.00,47.25,1872.67,N/A,10.45,10.47
14.000,1200.000,46.000,1875.000,N/A,3.99,10.29
14.000,1200.000,46.000,1875.000,N/A,2.16,10.29
22.000,1200.000,46.000,1870.000,N/A,3.78,10.33
20.000,1200.000,46.000,1870.000,N/A,7.60,10.46
33.000,1200.000,47.000,1871.000,N/A,8.78,10.47
33.000,1200.000,47.000,1872.000,N/A,6.04,10.47
31.000,1200.000,47.000,1873.000,N/A,7.19,10.47
36.000,1200.000,48.000,1873.000,N/A,20.45,10.55
44.000,1200.000,48.000,1873.000,N/A,15.96,10.53
57.000,1200.000,49.000,1873.000,N/A,17.58,10.57
48.000,1200.000,50.000,1873.000,N/A,28.10,10.68
31.000,1200.000,47.000,1874.000,N/A,3.76,10.57
